sentence 	 E 	 alpha 	 beta 	 gamma 	 delta 	 epsilon	natorcong
raħilu u̯a muhruː raħilu laː i̯ihu̯ui̯ ɬipaːti i̯iˀumr muhriː i̯is’au̯ar ða arkaba kabita i̯iðakam ða aðkama rabb ða ˀinɬa nidiɬ i̯iḳuu̯l raħilu muhriː: i̯ii̯agaʕniː libbu ḥizai̯i i̯irkaba ˀinɬu paraɬiː i̯iḳu̯lū muhrū: ɬmuʕ raħilu i̯ii̯agaʕnaː libbu ḥizai̯iː i̯iʕabad ˀinɬu baʕlu taːṉ ɬipaːtuɬ’aˀni kisu̯ta ɬaħn u̯a laː i̯ihau̯ai̯ ɬ’aˀnu ɬipaːti haː ɬimaʕ i̯iblut’ raħilu ˀad ɬadau̯i	98.98678433484872	5.055555555555555	1.8518518518518516	0.6602254428341384	46.52014652014652	1	1
ot͡ʃɤ luxɤt ot͡ʃɤna aptɤna e-u̯olɤɕa luxɤi̯ kokɤ; t͡ɕe læulæ u̯ixim u̯ixitæ t͡ɕe enæ kantam t͡ɕe koi̯ɤm suxɤm kantata ot͡ʃɤ luxɤi̯ monɤ ɕiðʲæmæ aŋkɤ u̯irkæm luxɤi̯ ai̯atam u̯æntitæ luxɤt monɤt kuːlɤk ot͡ʃɤ ɕiðjæmæt aŋkɤ u̯æntitæ u̯irkæ u̯æki ot͡ʃɤn aptɤtæ su pæu̯i u̯ert͡ʃæm teki ot͡ʃɤn aptɤna e-u̯olɤ e kuːlɤmæ ot͡ʃɤ kaŋkak pukeɕa	98.54274650668842	4.98	6.0	3.108433734939759	48.59437751004016	1	1
wətə raːnaː də ʔiskər hʊntuːru tə ʔəreːwəʔ də raːnaː sʊkə ji ɡərdəmaː ʔə kən koːwaːt͡ʃeːt͡ʃeː dəɡə t͡ʃɨkɪnsu tə ɸi kʼərɸiː to sʊnaː t͡ʃɨkɪn wənnəŋ ɡərdəmaː səj ɡaː wənɨ mətəfɪjiː jaː zoː soɲɛʔ də riːɡər səɲiː to ʃiːkeːnən səj kʷʼʊreʔ dɔn ʔəə ɡə koː waː zəj ʔijə saː mətəfɪjin jə tuːɓeː riːɡərsəʔ ʔə kən tiːləs to ʃiːkeːnən səj ʔiskpr hʊntuːru tə buːsoː səɲɪntəʔ də kʼərɸiː ʔijə jɪntə əmmaː inaː səj tə kaːsə saː ʃiː wənnəm mətəfɪjiː jəkʷəɓeː riːɡprspʔ dɔn kʷʊwa jaː dəndənneː riːɡpr ɡəmɡəm ʔə jɨkɪnsəʔ to dəɡə kʼərʃeː dəj səj koː raːnaː səj tə buːdʼoː həskʲəntə də zaːfɪntə wərwər həbə kəb kə t͡ʃeː meː səj ɡaː ʃi wənnəm mʊtʊm mətəfɪjiː jaː kʷəɓeː rɪɡərsaː baː ɡʲɪrmaː də ʔərzɨkiː ɡənɨŋ həkə kʷʊwa səj ʔɪskaː doːle təʔəmɪnt͡ʃeː ʔə kən tʃeːwaː ləlleː raːnaː taː fiː tə kʼərɸiː	33.09448348757099	4.015037593984962	3.007518796992481	0.969365562666998	56.36704119850188	1	1
ikuku u̙ɡu̙ɹu̙ aŋwu̙ naaɹu̙ɹi̙ta u̙ka oɲe ka ibe ja ike mɡbe ɦa ɦu̙ɹu̙ otu oɲe id͡ʒe ka o ji uwe u̙ɡu̙ɹu̙ ja naabi̙a ɦa kweko̙ɹi̙taɹa na oɲe buɹu u̙zo̙ mee ka oɲe id͡ʒe aɦu̙ jipu̙ uwe ja ka a ɡa ewe di̙ ka oɲe ka ibe ja ike ikuku u̙ɡuɹu̙ wee malite fee fee fee otu ike ja ɦa ma ka o̙ na efe ka oɲe id͡ʒe aɦu na ed͡ʒidesi uwe ja ike na aɦu ja ja fekata ɦapu̙ mɡbe oɡe oɲe id͡ʒχe aɦu jipu̙ɹu̙ uwe ja ŋke a meɹe ikuku u̙ɡu̙ɹu̙ kweɹe na aŋwu̙ ka ja ike	94.85972231283525	3.142857142857143	5.1020408163265305	1.8816037053119121	42.2077922077922	1	1
sapajɾa sapajɾa ana anɛ kɛ la ɓla βanden̩saŋia kɛnɛ la ɓla ʔoɺoː tɛ amaːi ana nɔpoɓʊsɯɓʊsɯɰ ako tɛ emai na mɛɓʊkɯ mbeaka molɛŋo ʔumpa nɔmaimo na mia ɸumila pʊmake ʔɛ ɓad͡ʒɯ mokɔʔɓa saʔitaʔakɔno nɔsɛtɯd͡ʒɯ kɰa tɛ ɓaːɓaːno pʊmaɺɯɺɯʔe na mia βumila iso tɛ ia nahopotaɺɯ i potaɻɯʔano iso aj maka tɛ la ɓla βandɛn̩saŋia ana nɔtɔpːa nɔtɔpːa nɔtɔpːa tɔkːa samɛɓʊkɯ nɔtɔpːa samɛbʊkɯ tɛ ia mbĕakamo nɔsɔʔɓa na la ɓɛla βandɛn̩saŋia ana poʔoli iso la ɓɛla ʔoɺoː nopasɔsoa tɛ mia mɛɓad͡ʒɯ iso kɛnɛ mbĕakamo ɔhaʔɗa pake tɛ bad͡ʒɯno d͡ʒar aβanaːtɯ nɔhɔpotaɺɯ na la ɓɛla ʔɔɺɔː kɛnɛ nɔmotaɺɯ na ɺa ɓɛla βandɛn̩saŋia i potaɾɯʔ ɯ kaβasa iso aj sapaira sapaira taŋkanomŏ	97.84504574938684	4.7889908256880735	7.339449541284404	4.690625646685522	49.23371647509578	1	1
pojɾazɫa ɟyneʃ biɾbiɾleɾinden daha kuvvetli oɫdukɫaɾɯnɯ ileɾi syɾeɾec iddiaːɫaːɫaʃɯjoɾɫaɾdɯ deɾcen kaɫɯn biɾ paɫto ɲɨijmiʃ biɾ joɮd͡ʒu ɟœɾdyleɾ bu jold͡ʒuja paɫtosunu t͡ʃɯ kaɾttɯɾabilenin daha kuvvetli oɫduɣunu kabuːl etmije kaɾar veɾdileɾ pojaɾaz vaɾ ɟyd͡ʒyle esmije baʃɫadɯ and͡ʒak joɫd͡ʒu paɫtosuna ɟitɟide daha sɯkɯ saɾɯnɯjoɾdu sonunda ɯsɯnɯd͡ʒa joɫd͡ʒu paɫtosunu hemen t͡ʃɯkaɾdɯ bœjled͡ʒe pojɾaz ɟyneʃin kendisinden daha kuvvetli olduɣunu kabuːl etmije med͡ʒbuɾ kaɫdɯ	97.94290119404295	6.896551724137931	3.4482758620689653	2.8814359943316012	58.5	1	1
õmbakʰɨnisɨ fiŋɡiã tojakãe koḛhete afa̰kʰohefa mãjãnde tit͡sʰɨi kĩjãkʰẽt͡sõhẽnĩnde hakã̰sɨ tõmbia̰ sa̰ʋɨt͡sʰia opuḭhẽŋɡafi dijet͡ʃo hi tãsḭ̃fatet͡sa mãhã o̰tiḛ tise hakãsɨ fĩndijet͡ʃo opuḭhẽmã u ʃiʔt͡ʃʰat͡ʃʰo kĩjãnẽ t͡sõmbateõmbanisɨfĩŋɡiãɨfa kiãmẽtiseuʃa̰fã̰ŋɡat͡samatisetit͡sʰe ɨfa̰nihakãsɨ tiseopuḭhẽmãfĩndi osefaʔpãŋɡa õmbakʰɨnḭsu fiŋɡiã uʃãmbipaãtʰḛ t͡sõsite koehesaʔʋɨt͡sit͡ʃahɨ t͡sĩḭ̃kɨtḛ faʋat͡ʃɨi hakã̰sɨ tiseopuḭhemãuʃit͡ʃʰa̰ t͡sombaʔtḛõmbanisufiŋɡiatãsijã̰t͡ʃoʋedajat͡sakoḛhe kʰua̰ŋɡiŋɡaĩʔhanitit͡sʰe kĩjãkʰḛ̃	93.29888198096069	10.268292682926829	9.75609756097561	3.4503271861986913	49.8812351543943	1	1
kaːŋkuːŋɡwe na akasuβa βaleːumana pa mulaːndu wa kwiʃiβa uːlipo namaka jaku  imfja umuβije eljo kwaːiʃile umuleːndo uwa fweːle ikoːti ljaːmpepo ilja tikama βaːlisuminiʃanja ati uwiːŋɡa leːŋɡa umuːntu uku fuːla ikoːti niːnʃi eulipo namaka kaːnʃi kaːŋkuːŋɡwe epaku puːta namaka jakwe jonse noːmba  ilja apuːtiʃa eljo nao umuːntu akwaːpiʃa ikoːti ljakwe awe mpaka kaːŋkuːŋɡwe asuka aleka eljo noːmba akasuβa nako kataːmpa uku sanika nokukaβa i  ine  ine awe umuleːndo βwaːŋɡu βwaːŋɡu a  fuːla ikoːti ku  ipuki awe kaːnʃi kaːŋkuːŋɡwe epaku sumina ati ijo  ine  ine akasuβa kalimu  iːmfja amaka	98.73949407338978	5.137931034482759	9.195402298850574	5.658709106984969	49.21700223713646	1	1
mimi be lo wu mihi tʰi ɲi d͡ʐo tʰɛ mimi be lo wu mihi ɲa byt͡sʰz̩ dɑmɑ tsɤbe tʰø tɑ ʂʒ˞ dodo d͡ʐɑɕø su tʰi ɻo d͡zz̩ lɛkʰo tʰɛ ji wɑ ɲi ɻo ʔɑmɑ mjɑni dɑ ɑ bɛ lɛkʰo tjɑ d͡ʐo jiwa ɲi ɻo ɲɑ ʔɑmɑ dodo d͡ʐɑɕø su ɡwɑ tɑ mɑ ji bytsʰz̩ ɡwɑ ly kɤ tsz̩ bɑlɑ ɲɑ ʔɑmɑ mjɑni dɑ mɑ ŋo be bɛ tɑ d͡ʐo ɡo tʰɛ lo wu mihi ɲɑ ji sɛ fu sz̩ d͡ʑø ɲɑ dodo d͡ʐɑɕø su ɡwɑ wɑd͡ʐo ji bytsʰz̩ ɡwɑ t͡sɤ be t͡sz̩ tʰɤ kɤ kɑnɛ lo wu mihi je mɑ bɑlɑ o be bɛ tʰɛ mihi tʰi xwɑ t͡sʰɑ t͡sʰɑ lø kɤ thɛ dodo d͡ʐɑɕø su ɡwɑ ɲɑ ji byt͡ʃʰz̩ t͡sʰɑ t͡sʰɑ ly lo kɤ tʰɛlo wu mihi ɲɑ mimi mjɑni dɑ be bɛ nɑ kɤ leo	9.182809356147565	2.72992700729927	18.248175182481752	4.033807145601229	55.61497326203209	1	1
!ɑdˁo tːfukt mːæʁn│kræjɡætː jæn ɡitsn ær itːini mæsdː ntːæn æjʃqːæn kːin imikː !zrn ja wrɡaz ær iftːu │ilsæː hdːun ɡnː tæʁnːænt nɡrætːsn│wænːɑ !jzdɑrn æd æs ikːs æhdːön ntːæn æjʃqːæn ibdu !wɑdo ær ikːæt s kulːu mædːærs iɡæn ʒːhd mæʃː ʁiknːɑ sæ jkːæt ærnː bzːæf izdæj urɡæz d uhdːönːs !erme !wɑdo │ur !ezdɑr ædæstː ikːs tbdu tfukt ær tsmirqːij ikː lʜæl imikː siʁ irʁɑ wrɡæz ikːs æhdːön ns ʁinː æʁ isːn !wɑdo is tːæfukt æjʃqːæn	4.340007859803437	3.864864864864865	22.972972972972975	7.384169884169885	65.03496503496503	1	1
